iter	Passed	Remaining
0	143	143027
1	144	71900
2	144	48168
3	145	36276
4	146	29118
5	147	24360
6	150	21391
7	154	19106
8	157	17368
9	159	15838
10	161	14489
11	162	13400
12	164	12500
13	166	11733
14	167	10992
15	168	10356
16	170	9833
17	170	9318
18	171	8856
19	172	8455
20	173	8097
21	174	7776
22	175	7469
23	176	7183
24	177	6918
25	178	6672
26	179	6450
27	179	6244
28	180	6045
29	181	5859
30	181	5683
31	182	5516
32	182	5362
33	183	5214
34	184	5074
35	184	4943
36	185	4820
37	185	4701
38	186	4588
39	186	4481
40	187	4378
41	187	4282
42	188	4189
43	188	4100
44	189	4015
45	189	3934
46	190	3857
47	190	3783
48	191	3711
49	191	3641
50	192	3574
51	192	3510
52	192	3448
53	193	3389
54	194	3333
55	194	3278
56	194	3224
57	195	3172
58	195	3123
59	196	3074
60	196	3027
61	197	2982
62	197	2938
63	198	2895
64	198	2854
65	198	2814
66	199	2775
67	199	2737
68	200	2700
69	200	2664
70	200	2629
71	201	2596
72	201	2564
73	202	2533
74	202	2502
75	203	2471
76	203	2442
77	204	2413
78	204	2385
79	205	2358
80	205	2331
81	205	2305
82	206	2277
83	206	2252
84	207	2229
85	207	2206
86	208	2183
87	208	2161
88	209	2139
89	209	2118
90	210	2097
91	210	2078
92	211	2058
93	211	2040
94	212	2022
95	212	2003
96	213	1986
97	213	1968
98	214	1951
99	214	1934
100	215	1917
101	216	1902
102	216	1886
103	217	1870
104	217	1854
105	218	1839
106	218	1824
107	219	1809
108	219	1795
109	220	1781
110	220	1767
111	221	1754
112	221	1741
113	222	1728
114	222	1715
115	223	1702
116	223	1688
117	224	1676
118	224	1664
119	225	1652
120	225	1640
121	226	1628
122	226	1617
123	227	1606
124	227	1595
125	228	1585
126	228	1573
127	229	1563
128	229	1552
129	230	1542
130	230	1532
131	231	1521
132	231	1511
133	232	1502
134	232	1492
135	233	1482
136	233	1473
137	234	1463
138	234	1454
139	235	1445
140	235	1436
141	236	1427
142	236	1418
143	237	1409
144	237	1401
145	238	1393
146	238	1385
147	239	1377
148	239	1369
149	240	1361
150	240	1353
151	241	1346
152	241	1338
153	242	1330
154	242	1323
155	243	1316
156	243	1309
157	244	1301
158	244	1294
159	245	1287
160	245	1279
161	245	1272
162	246	1264
163	246	1258
164	247	1251
165	247	1244
166	248	1237
167	248	1231
168	249	1224
169	249	1218
170	250	1212
171	250	1206
172	251	1200
173	251	1194
174	252	1188
175	252	1182
176	253	1176
177	253	1170
178	253	1164
179	254	1158
180	254	1152
181	255	1146
182	255	1141
183	256	1135
184	256	1129
185	256	1124
186	257	1118
187	257	1113
188	258	1107
189	258	1102
190	259	1097
191	259	1092
192	259	1086
193	260	1081
194	260	1076
195	261	1071
196	261	1066
197	262	1062
198	262	1057
199	263	1053
200	263	1049
201	264	1044
202	264	1040
203	265	1035
204	265	1030
205	266	1026
206	266	1022
207	267	1018
208	267	1013
209	268	1009
210	268	1004
211	269	1000
212	269	996
213	270	992
214	270	988
215	271	983
216	271	979
217	271	975
218	272	971
219	272	967
220	273	963
221	273	959
222	274	955
223	274	951
224	275	947
225	275	943
226	276	939
227	276	936
228	276	932
229	277	928
230	277	924
231	278	921
232	278	917
233	279	913
234	279	909
235	279	906
236	280	902
237	280	899
238	281	895
239	281	892
240	282	888
241	282	884
242	282	881
243	283	878
244	283	874
245	284	871
246	284	867
247	285	864
248	285	860
249	285	857
250	286	854
251	286	850
252	287	847
253	287	844
254	287	841
255	288	837
256	288	834
257	289	831
258	289	828
259	290	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
266	293	804
267	293	801
268	294	799
269	294	796
270	294	793
271	295	790
272	295	787
273	296	784
274	296	781
275	296	778
276	297	776
277	297	773
278	298	770
279	298	767
280	299	765
281	299	763
282	300	760
283	300	757
284	300	755
285	301	752
286	301	749
287	302	747
288	302	744
289	303	742
290	303	739
291	304	737
292	304	734
293	305	732
294	305	730
295	305	727
296	306	725
297	306	722
298	307	720
299	307	718
300	308	715
301	308	713
302	309	710
303	309	708
304	309	706
305	310	703
306	310	701
307	311	699
308	311	697
309	312	695
310	312	693
311	313	691
312	313	688
313	314	686
314	314	684
315	315	682
316	315	680
317	316	678
318	316	676
319	317	674
320	317	672
321	318	670
322	318	668
323	319	666
324	319	664
325	320	662
326	320	660
327	321	658
328	321	656
329	322	654
330	322	652
331	323	651
332	324	649
333	324	647
334	324	645
335	325	643
336	325	641
337	326	639
338	326	637
339	327	635
340	327	633
341	328	631
342	328	629
343	329	627
344	329	625
345	330	624
346	330	622
347	331	620
348	331	618
349	331	616
350	332	614
351	332	612
352	333	610
353	333	608
354	334	607
355	334	605
356	334	603
357	335	601
358	336	600
359	336	598
360	337	596
361	337	595
362	338	593
363	338	591
364	339	589
365	339	587
366	339	586
367	340	584
368	340	582
369	341	580
370	341	579
371	341	577
372	342	575
373	342	573
374	343	572
375	343	570
376	344	568
377	344	566
378	344	565
379	345	563
380	345	561
381	346	560
382	346	558
383	347	556
384	347	555
385	348	554
386	348	552
387	349	551
388	349	549
389	350	547
390	350	546
391	351	545
392	351	543
393	352	541
394	352	540
395	353	538
396	353	537
397	354	535
398	354	533
399	355	532
400	355	530
401	355	529
402	356	527
403	356	526
404	357	524
405	357	523
406	358	521
407	358	520
408	358	518
409	359	517
410	359	515
411	360	514
412	360	512
413	361	511
414	361	509
415	362	508
416	362	507
417	363	505
418	363	504
419	364	502
420	364	501
421	365	499
422	365	498
423	366	497
424	366	495
425	367	494
426	367	493
427	367	491
428	368	490
429	368	488
430	369	487
431	369	486
432	370	484
433	370	483
434	370	481
435	371	480
436	371	479
437	372	477
438	372	476
439	373	475
440	373	473
441	374	472
442	374	470
443	374	469
444	375	468
445	375	466
446	376	465
447	376	464
448	377	462
449	377	461
450	378	460
451	378	459
452	379	457
453	379	456
454	380	455
455	380	453
456	380	452
457	381	451
458	381	450
459	382	448
460	382	447
461	383	446
462	383	445
463	384	443
464	384	442
465	385	441
466	385	440
467	385	438
468	386	437
469	386	436
470	387	434
471	387	433
472	388	432
473	388	431
474	389	430
475	389	428
476	390	427
477	390	426
478	391	425
479	391	424
480	391	422
481	392	421
482	392	420
483	393	419
484	393	418
485	394	417
486	394	415
487	395	414
488	395	413
489	396	412
490	396	411
491	397	409
492	397	408
493	397	407
494	398	406
495	398	405
496	399	403
497	399	402
498	400	401
499	400	400
500	400	399
501	401	398
502	401	396
503	402	395
504	402	394
505	403	393
506	403	392
507	403	391
508	404	390
509	404	388
510	405	387
511	405	386
512	406	385
513	406	384
514	406	383
515	407	382
516	407	380
517	408	379
518	408	378
519	409	377
520	409	376
521	409	375
522	410	374
523	410	373
524	411	372
525	411	370
526	412	369
527	412	368
528	413	367
529	413	366
530	413	365
531	414	364
532	414	363
533	415	362
534	415	361
535	415	360
536	416	358
537	416	357
538	417	356
539	417	355
540	418	354
541	418	353
542	419	352
543	419	351
544	420	350
545	420	349
546	421	348
547	421	347
548	422	346
549	422	345
550	422	344
551	423	343
552	423	342
553	424	341
554	424	340
555	425	339
556	425	338
557	425	337
558	426	336
559	426	335
560	427	334
561	427	333
562	428	332
563	428	331
564	429	330
565	429	329
566	429	328
567	430	327
568	430	326
569	431	325
570	431	324
571	432	323
572	432	322
573	433	321
574	433	320
575	434	319
576	434	318
577	435	317
578	435	316
579	436	315
580	436	314
581	437	313
582	437	312
583	437	311
584	438	311
585	438	310
586	439	309
587	439	308
588	440	307
589	440	306
590	441	305
591	441	304
592	442	303
593	442	302
594	443	301
595	443	300
596	444	299
597	444	299
