iter	Passed	Remaining
0	142	141996
1	144	72238
2	146	48665
3	148	36968
4	149	29755
5	152	25226
6	152	21700
7	153	19074
8	156	17222
9	157	15599
10	159	14334
11	160	13247
12	162	12308
13	163	11507
14	164	10808
15	165	10193
16	166	9640
17	167	9156
18	168	8711
19	169	8309
20	170	7941
21	171	7603
22	171	7296
23	172	7017
24	173	6756
25	173	6510
26	174	6285
27	174	6074
28	175	5880
29	176	5696
30	176	5524
31	177	5368
32	178	5220
33	178	5077
34	179	4940
35	179	4812
36	180	4693
37	180	4577
38	181	4468
39	181	4364
40	182	4264
41	182	4168
42	183	4078
43	183	3993
44	184	3909
45	184	3831
46	185	3756
47	185	3684
48	186	3616
49	186	3549
50	187	3484
51	187	3421
52	188	3361
53	188	3302
54	188	3246
55	189	3192
56	189	3139
57	190	3089
58	190	3041
59	191	2994
60	191	2948
61	191	2904
62	192	2862
63	192	2822
64	193	2784
65	194	2746
66	194	2708
67	194	2672
68	195	2637
69	196	2604
70	196	2570
71	196	2537
72	197	2505
73	197	2475
74	198	2446
75	198	2418
76	199	2390
77	199	2362
78	200	2335
79	200	2310
80	201	2284
81	201	2259
82	202	2232
83	202	2208
84	202	2184
85	203	2162
86	203	2139
87	204	2118
88	204	2096
89	205	2075
90	205	2055
91	206	2035
92	206	2016
93	207	1997
94	207	1978
95	208	1960
96	208	1941
97	208	1923
98	209	1906
99	209	1889
100	210	1872
101	210	1857
102	211	1841
103	211	1825
104	212	1810
105	212	1794
106	213	1779
107	213	1765
108	214	1750
109	214	1736
110	215	1722
111	215	1708
112	216	1695
113	216	1682
114	216	1669
115	217	1656
116	217	1643
117	218	1630
118	218	1617
119	218	1605
120	219	1593
121	219	1581
122	220	1570
123	220	1559
124	221	1548
125	221	1538
126	222	1526
127	222	1516
128	223	1506
129	223	1496
130	224	1486
131	224	1476
132	225	1467
133	225	1457
134	226	1448
135	226	1439
136	227	1430
137	227	1421
138	227	1412
139	228	1403
140	228	1394
141	229	1385
142	229	1376
143	230	1367
144	230	1359
145	231	1351
146	231	1343
147	231	1334
148	232	1327
149	232	1319
150	233	1311
151	233	1303
152	234	1296
153	234	1289
154	235	1282
155	235	1275
156	236	1268
157	236	1261
158	237	1254
159	237	1247
160	237	1240
161	238	1233
162	238	1226
163	239	1220
164	239	1213
165	240	1207
166	240	1200
167	241	1194
168	241	1188
169	242	1181
170	242	1175
171	242	1169
172	243	1163
173	243	1157
174	244	1151
175	244	1146
176	245	1140
177	245	1134
178	246	1128
179	246	1123
180	247	1118
181	247	1112
182	248	1107
183	248	1103
184	249	1097
185	249	1092
186	250	1087
187	250	1082
188	251	1077
189	251	1072
190	251	1067
191	252	1062
192	252	1057
193	253	1052
194	253	1047
195	254	1042
196	254	1037
197	255	1033
198	255	1028
199	255	1023
200	256	1019
201	256	1014
202	257	1010
203	257	1005
204	258	1001
205	258	997
206	259	993
207	259	988
208	260	984
209	260	980
210	261	976
211	261	972
212	262	968
213	262	964
214	262	960
215	263	955
216	263	951
217	264	947
218	264	944
219	265	940
220	265	936
221	266	932
222	266	928
223	267	925
224	267	921
225	268	917
226	268	914
227	268	910
228	269	906
229	269	903
230	270	899
231	270	896
232	271	892
233	271	889
234	272	886
235	272	882
236	273	879
237	273	875
238	273	872
239	274	868
240	274	865
241	275	862
242	275	858
243	276	855
244	276	852
245	276	848
246	277	845
247	277	842
248	278	839
249	278	836
250	279	833
251	279	830
252	280	826
253	280	823
254	281	820
255	281	817
256	281	815
257	282	812
258	282	809
259	283	806
260	283	803
261	284	800
262	284	798
263	285	795
264	285	792
265	286	789
266	286	787
267	287	784
268	287	781
269	288	778
270	288	776
271	288	773
272	289	770
273	289	767
274	290	765
275	290	762
276	291	759
277	291	757
278	292	754
279	292	752
280	292	749
281	293	747
282	294	744
283	294	742
284	294	740
285	295	737
286	296	735
287	296	733
288	297	730
289	297	728
290	297	725
291	298	723
292	298	720
293	299	718
294	299	716
